huesped_id,habitacion_id,fecha_entrada,fecha_salida,promocion_id,canal_id,empleado_checkin,empleado_checkout
1002,66,2025-01-01,2025-01-02,NULL,4,1,2
734,67,2025-01-01,2025-01-03,NULL,5,1,2
920,69,2025-01-01,2025-01-05,1,2,1,2
1112,70,2025-01-01,2025-01-04,NULL,5,1,2
2758,71,2025-01-01,2025-01-06,NULL,2,1,2
189,72,2025-01-01,2025-01-06,1,1,1,2
1341,75,2025-01-01,2025-01-04,NULL,5,1,2
822,76,2025-01-01,2025-01-04,1,5,1,2
994,77,2025-01-01,2025-01-06,1,3,1,2
801,78,2025-01-01,2025-01-05,2,5,1,2
617,79,2025-01-01,2025-01-03,NULL,4,1,2
1419,80,2025-01-01,2025-01-06,2,1,1,2
2979,82,2025-01-01,2025-01-05,1,1,1,2
1720,83,2025-01-01,2025-01-03,1,1,1,2
382,85,2025-01-01,2025-01-04,NULL,2,1,2
1878,87,2025-01-01,2025-01-04,2,1,1,2
547,88,2025-01-01,2025-01-06,2,4,1,2
256,89,2025-01-01,2025-01-06,1,2,1,2
1291,90,2025-01-01,2025-01-04,1,3,1,2
957,91,2025-01-01,2025-01-04,NULL,2,1,2
447,92,2025-01-01,2025-01-06,NULL,1,1,2
1287,93,2025-01-01,2025-01-05,1,1,1,2
1852,94,2025-01-01,2025-01-03,1,4,1,2
371,95,2025-01-01,2025-01-02,NULL,3,1,2
881,97,2025-01-01,2025-01-02,1,2,1,2
1458,98,2025-01-01,2025-01-03,1,5,1,2
1066,99,2025-01-01,2025-01-04,NULL,1,1,2
1024,8,2025-01-02,2025-01-07,NULL,4,1,2
498,10,2025-01-02,2025-01-04,NULL,1,1,2
1525,17,2025-01-02,2025-01-06,2,1,1,2
308,21,2025-01-02,2025-01-05,NULL,1,1,2
528,22,2025-01-02,2025-01-06,NULL,3,1,2
208,24,2025-01-02,2025-01-06,NULL,5,1,2
2033,25,2025-01-02,2025-01-06,NULL,4,1,2
1450,27,2025-01-02,2025-01-04,NULL,2,1,2
609,28,2025-01-02,2025-01-06,NULL,5,1,2
2652,32,2025-01-02,2025-01-04,1,4,1,2
1963,34,2025-01-02,2025-01-07,NULL,1,1,2
1718,36,2025-01-02,2025-01-04,NULL,5,1,2
80,38,2025-01-02,2025-01-07,1,3,1,2
1410,43,2025-01-02,2025-01-06,2,5,1,2
737,44,2025-01-02,2025-01-05,NULL,3,1,2
1151,48,2025-01-02,2025-01-03,NULL,4,1,2
954,52,2025-01-02,2025-01-07,NULL,1,1,2
1092,60,2025-01-02,2025-01-04,2,1,1,2
2359,63,2025-01-02,2025-01-04,1,3,1,2
2427,68,2025-01-02,2025-01-04,1,3,1,2
2326,74,2025-01-02,2025-01-05,2,2,1,2
2017,81,2025-01-02,2025-01-04,2,3,1,2
370,84,2025-01-02,2025-01-03,NULL,2,1,2
2157,86,2025-01-02,2025-01-03,1,1,1,2
826,95,2025-01-02,2025-01-07,NULL,3,1,2
244,96,2025-01-02,2025-01-05,NULL,2,1,2
455,97,2025-01-02,2025-01-04,2,3,1,2
2401,1,2025-01-03,2025-01-07,NULL,3,1,2
646,4,2025-01-03,2025-01-05,2,4,1,2
2660,5,2025-01-03,2025-01-07,1,2,1,2
2841,11,2025-01-03,2025-01-08,2,3,1,2
719,16,2025-01-03,2025-01-08,1,3,1,2
522,26,2025-01-03,2025-01-06,NULL,1,1,2
133,41,2025-01-03,2025-01-08,NULL,5,1,2
905,48,2025-01-03,2025-01-08,2,5,1,2
577,57,2025-01-03,2025-01-07,1,1,1,2
688,59,2025-01-03,2025-01-06,2,1,1,2
1830,65,2025-01-03,2025-01-06,NULL,3,1,2
1436,66,2025-01-03,2025-01-04,1,1,1,2
1581,67,2025-01-03,2025-01-04,1,4,1,2
1439,83,2025-01-03,2025-01-07,2,4,1,2
2368,84,2025-01-03,2025-01-07,2,2,1,2
137,86,2025-01-03,2025-01-04,1,1,1,2
304,94,2025-01-03,2025-01-04,1,2,1,2
2241,100,2025-01-03,2025-01-04,NULL,3,1,2
1978,2,2025-01-04,2025-01-09,2,1,1,2
2488,9,2025-01-04,2025-01-06,1,2,1,2
842,10,2025-01-04,2025-01-07,NULL,4,1,2
1087,13,2025-01-04,2025-01-09,2,3,1,2
204,18,2025-01-04,2025-01-05,1,5,1,2
630,19,2025-01-04,2025-01-08,NULL,3,1,2
1207,20,2025-01-04,2025-01-05,2,5,1,2
106,27,2025-01-04,2025-01-05,NULL,2,1,2
1940,29,2025-01-04,2025-01-05,NULL,3,1,2
2004,31,2025-01-04,2025-01-08,2,3,1,2
1588,32,2025-01-04,2025-01-09,NULL,3,1,2
183,39,2025-01-04,2025-01-08,1,4,1,2
1101,47,2025-01-04,2025-01-06,2,1,1,2
352,49,2025-01-04,2025-01-05,2,3,1,2
932,58,2025-01-04,2025-01-09,2,1,1,2
2815,63,2025-01-04,2025-01-09,1,5,1,2
1618,66,2025-01-04,2025-01-05,2,1,1,2
2341,67,2025-01-04,2025-01-09,2,5,1,2
709,68,2025-01-04,2025-01-08,NULL,2,1,2
321,73,2025-01-04,2025-01-08,2,4,1,2
2438,75,2025-01-04,2025-01-06,1,3,1,2
2279,81,2025-01-04,2025-01-08,1,5,1,2
2129,85,2025-01-04,2025-01-07,1,1,1,2
2407,86,2025-01-04,2025-01-09,2,4,1,2
608,87,2025-01-04,2025-01-06,2,5,1,2
433,90,2025-01-04,2025-01-05,2,1,1,2
1409,91,2025-01-04,2025-01-09,1,3,1,2
2344,94,2025-01-04,2025-01-08,2,4,1,2
1651,97,2025-01-04,2025-01-07,NULL,5,1,2
159,98,2025-01-04,2025-01-08,1,3,1,2
1947,99,2025-01-04,2025-01-05,1,3,1,2
1274,100,2025-01-04,2025-01-07,1,4,1,2
551,4,2025-01-05,2025-01-07,1,4,1,2
1104,6,2025-01-05,2025-01-08,2,4,1,2
770,7,2025-01-05,2025-01-06,1,2,1,2
2116,15,2025-01-05,2025-01-09,1,1,1,2
269,18,2025-01-05,2025-01-07,1,5,1,2
2330,20,2025-01-05,2025-01-10,NULL,2,1,2
237,21,2025-01-05,2025-01-07,NULL,1,1,2
2887,23,2025-01-05,2025-01-08,NULL,3,1,2
2069,27,2025-01-05,2025-01-09,1,1,1,2
1526,29,2025-01-05,2025-01-07,1,5,1,2
2404,33,2025-01-05,2025-01-09,2,3,1,2
2822,35,2025-01-05,2025-01-08,NULL,3,1,2
668,36,2025-01-05,2025-01-06,2,2,1,2
1103,44,2025-01-05,2025-01-07,2,4,1,2
1942,46,2025-01-05,2025-01-06,NULL,2,1,2
917,49,2025-01-05,2025-01-06,1,5,1,2
1736,53,2025-01-05,2025-01-08,1,3,1,2
1912,54,2025-01-05,2025-01-07,1,5,1,2
31,56,2025-01-05,2025-01-06,2,3,1,2
2495,60,2025-01-05,2025-01-10,1,3,1,2
262,61,2025-01-05,2025-01-09,1,3,1,2
1070,64,2025-01-05,2025-01-08,2,3,1,2
985,66,2025-01-05,2025-01-10,NULL,5,1,2
2789,69,2025-01-05,2025-01-08,NULL,1,1,2
1063,70,2025-01-05,2025-01-08,1,4,1,2
2389,74,2025-01-05,2025-01-06,2,5,1,2
2812,78,2025-01-05,2025-01-07,2,4,1,2
1230,82,2025-01-05,2025-01-10,NULL,5,1,2
1929,90,2025-01-05,2025-01-06,NULL,3,1,2
750,93,2025-01-05,2025-01-10,2,3,1,2
1456,96,2025-01-05,2025-01-07,NULL,3,1,2
1523,99,2025-01-05,2025-01-08,1,5,1,2
1928,3,2025-01-06,2025-01-07,NULL,5,1,2
292,7,2025-01-06,2025-01-11,1,2,1,2
2171,9,2025-01-06,2025-01-10,1,4,1,2
563,12,2025-01-06,2025-01-08,NULL,3,1,2
1875,14,2025-01-06,2025-01-11,NULL,3,1,2
1998,22,2025-01-06,2025-01-07,1,2,1,2
20,24,2025-01-06,2025-01-07,1,3,1,2
2361,25,2025-01-06,2025-01-08,NULL,4,1,2
531,26,2025-01-06,2025-01-07,2,4,1,2
1758,28,2025-01-06,2025-01-10,1,4,1,2
817,30,2025-01-06,2025-01-11,2,3,1,2
781,40,2025-01-06,2025-01-11,NULL,1,1,2
927,42,2025-01-06,2025-01-08,2,3,1,2
1572,43,2025-01-06,2025-01-07,2,5,1,2
188,45,2025-01-06,2025-01-07,1,3,1,2
2443,46,2025-01-06,2025-01-11,2,3,1,2
1404,47,2025-01-06,2025-01-08,1,3,1,2
1653,49,2025-01-06,2025-01-08,NULL,2,1,2
866,50,2025-01-06,2025-01-08,2,1,1,2
505,51,2025-01-06,2025-01-08,1,1,1,2
2191,55,2025-01-06,2025-01-09,2,1,1,2
2712,56,2025-01-06,2025-01-07,NULL,1,1,2
1708,59,2025-01-06,2025-01-07,1,4,1,2
1944,62,2025-01-06,2025-01-09,2,2,1,2
1234,65,2025-01-06,2025-01-07,1,1,1,2
2551,71,2025-01-06,2025-01-09,2,2,1,2
2096,72,2025-01-06,2025-01-07,2,5,1,2
436,74,2025-01-06,2025-01-07,1,2,1,2
2143,75,2025-01-06,2025-01-09,NULL,3,1,2
657,76,2025-01-06,2025-01-09,NULL,5,1,2
2819,77,2025-01-06,2025-01-08,1,3,1,2
2752,79,2025-01-06,2025-01-07,NULL,1,1,2
369,87,2025-01-06,2025-01-08,2,1,1,2
1049,88,2025-01-06,2025-01-07,2,2,1,2
1082,89,2025-01-06,2025-01-09,1,1,1,2
162,90,2025-01-06,2025-01-08,1,3,1,2
390,1,2025-01-07,2025-01-08,NULL,1,1,2
1347,4,2025-01-07,2025-01-09,1,4,1,2
1527,8,2025-01-07,2025-01-08,1,2,1,2
1870,10,2025-01-07,2025-01-11,1,4,1,2
1728,17,2025-01-07,2025-01-11,2,2,1,2
653,18,2025-01-07,2025-01-08,NULL,4,1,2
2779,22,2025-01-07,2025-01-12,1,2,1,2
2505,24,2025-01-07,2025-01-10,NULL,2,1,2
463,26,2025-01-07,2025-01-11,1,4,1,2
2683,29,2025-01-07,2025-01-10,1,1,1,2
2362,34,2025-01-07,2025-01-12,2,5,1,2
2127,36,2025-01-07,2025-01-10,2,5,1,2
1974,37,2025-01-07,2025-01-09,1,4,1,2
2511,38,2025-01-07,2025-01-12,NULL,1,1,2
2071,43,2025-01-07,2025-01-09,1,4,1,2
1314,45,2025-01-07,2025-01-11,NULL,3,1,2
2255,54,2025-01-07,2025-01-09,2,4,1,2
323,56,2025-01-07,2025-01-09,1,4,1,2
1832,59,2025-01-07,2025-01-11,1,1,1,2
421,72,2025-01-07,2025-01-08,1,4,1,2
1,74,2025-01-07,2025-01-12,NULL,5,1,2
2304,79,2025-01-07,2025-01-12,NULL,4,1,2
914,83,2025-01-07,2025-01-08,1,3,1,2
2458,84,2025-01-07,2025-01-12,1,3,1,2
400,85,2025-01-07,2025-01-08,2,2,1,2
2596,88,2025-01-07,2025-01-10,1,5,1,2
188,92,2025-01-07,2025-01-08,NULL,4,1,2
439,95,2025-01-07,2025-01-11,1,5,1,2
1610,96,2025-01-07,2025-01-08,NULL,4,1,2
442,100,2025-01-07,2025-01-10,1,1,1,2
1874,5,2025-01-08,2025-01-12,2,5,1,2
18,8,2025-01-08,2025-01-12,2,1,1,2
2397,11,2025-01-08,2025-01-12,1,5,1,2
2834,12,2025-01-08,2025-01-10,2,2,1,2
425,16,2025-01-08,2025-01-10,1,5,1,2
2065,18,2025-01-08,2025-01-11,1,4,1,2
1630,23,2025-01-08,2025-01-11,1,3,1,2
566,25,2025-01-08,2025-01-10,1,5,1,2
1225,31,2025-01-08,2025-01-13,2,5,1,2
2592,39,2025-01-08,2025-01-13,NULL,2,1,2
2813,41,2025-01-08,2025-01-11,1,2,1,2
2064,44,2025-01-08,2025-01-10,2,3,1,2
2304,47,2025-01-08,2025-01-11,1,5,1,2
2762,48,2025-01-08,2025-01-12,2,5,1,2
53,49,2025-01-08,2025-01-12,2,1,1,2
218,50,2025-01-08,2025-01-10,2,1,1,2
1174,51,2025-01-08,2025-01-10,2,3,1,2
2829,52,2025-01-08,2025-01-09,1,2,1,2
1470,53,2025-01-08,2025-01-09,1,1,1,2
919,57,2025-01-08,2025-01-13,2,5,1,2
2852,64,2025-01-08,2025-01-13,1,1,1,2
2262,68,2025-01-08,2025-01-11,NULL,1,1,2
2542,69,2025-01-08,2025-01-10,1,2,1,2
2411,72,2025-01-08,2025-01-11,2,5,1,2
1205,73,2025-01-08,2025-01-10,1,2,1,2
2105,78,2025-01-08,2025-01-10,NULL,4,1,2
2280,80,2025-01-08,2025-01-11,1,2,1,2
24,81,2025-01-08,2025-01-11,1,4,1,2
164,83,2025-01-08,2025-01-10,NULL,3,1,2
2712,85,2025-01-08,2025-01-13,1,4,1,2
1467,87,2025-01-08,2025-01-13,NULL,3,1,2
2133,90,2025-01-08,2025-01-10,NULL,5,1,2
2200,92,2025-01-08,2025-01-13,1,1,1,2
2718,94,2025-01-08,2025-01-10,1,3,1,2
2533,96,2025-01-08,2025-01-10,2,4,1,2
1826,1,2025-01-09,2025-01-12,NULL,5,1,2
2796,3,2025-01-09,2025-01-10,1,4,1,2
2966,13,2025-01-09,2025-01-14,1,1,1,2
1826,21,2025-01-09,2025-01-14,1,1,1,2
1313,27,2025-01-09,2025-01-11,2,1,1,2
2185,33,2025-01-09,2025-01-14,NULL,1,1,2
2808,35,2025-01-09,2025-01-11,1,1,1,2
2649,37,2025-01-09,2025-01-13,NULL,2,1,2
156,42,2025-01-09,2025-01-12,NULL,1,1,2
2286,43,2025-01-09,2025-01-12,NULL,5,1,2
2582,54,2025-01-09,2025-01-13,1,4,1,2
2758,55,2025-01-09,2025-01-13,NULL,5,1,2
260,56,2025-01-09,2025-01-14,2,5,1,2
1466,58,2025-01-09,2025-01-10,2,1,1,2
2485,61,2025-01-09,2025-01-12,NULL,3,1,2
1563,62,2025-01-09,2025-01-13,1,1,1,2
901,63,2025-01-09,2025-01-14,NULL,4,1,2
1209,65,2025-01-09,2025-01-14,2,2,1,2
46,67,2025-01-09,2025-01-12,2,5,1,2
21,70,2025-01-09,2025-01-10,2,5,1,2
349,71,2025-01-09,2025-01-14,1,2,1,2
868,75,2025-01-09,2025-01-12,1,5,1,2
905,76,2025-01-09,2025-01-11,2,3,1,2
2749,77,2025-01-09,2025-01-11,2,1,1,2
300,97,2025-01-09,2025-01-14,1,1,1,2
2973,98,2025-01-09,2025-01-11,2,4,1,2
410,2,2025-01-10,2025-01-12,1,5,1,2
1302,3,2025-01-10,2025-01-12,1,4,1,2
2841,4,2025-01-10,2025-01-13,2,2,1,2
1296,6,2025-01-10,2025-01-13,1,2,1,2
908,9,2025-01-10,2025-01-12,2,4,1,2
551,12,2025-01-10,2025-01-13,2,3,1,2
1252,16,2025-01-10,2025-01-13,1,5,1,2
336,19,2025-01-10,2025-01-15,1,2,1,2
2980,24,2025-01-10,2025-01-11,NULL,1,1,2
2372,28,2025-01-10,2025-01-15,1,5,1,2
2260,29,2025-01-10,2025-01-11,1,5,1,2
1499,36,2025-01-10,2025-01-12,1,2,1,2
549,50,2025-01-10,2025-01-13,1,5,1,2
1491,51,2025-01-10,2025-01-14,2,1,1,2
2803,52,2025-01-10,2025-01-15,NULL,5,1,2
734,53,2025-01-10,2025-01-12,2,5,1,2
2999,58,2025-01-10,2025-01-12,1,3,1,2
950,60,2025-01-10,2025-01-14,NULL,3,1,2
2739,66,2025-01-10,2025-01-11,NULL,5,1,2
1863,70,2025-01-10,2025-01-14,NULL,1,1,2
2596,78,2025-01-10,2025-01-15,1,3,1,2
713,82,2025-01-10,2025-01-15,1,4,1,2
2117,83,2025-01-10,2025-01-11,1,4,1,2
1446,88,2025-01-10,2025-01-14,1,4,1,2
28,89,2025-01-10,2025-01-15,2,2,1,2
316,90,2025-01-10,2025-01-12,2,3,1,2
645,91,2025-01-10,2025-01-12,1,5,1,2
2708,93,2025-01-10,2025-01-11,NULL,4,1,2
2766,96,2025-01-10,2025-01-14,1,4,1,2
2652,99,2025-01-10,2025-01-12,1,1,1,2
2350,100,2025-01-10,2025-01-12,2,2,1,2
161,7,2025-01-11,2025-01-16,2,2,1,2
738,10,2025-01-11,2025-01-14,2,4,1,2
2612,14,2025-01-11,2025-01-16,NULL,3,1,2
1931,17,2025-01-11,2025-01-16,1,2,1,2
2462,18,2025-01-11,2025-01-15,NULL,5,1,2
1084,23,2025-01-11,2025-01-16,NULL,3,1,2
942,25,2025-01-11,2025-01-12,1,4,1,2
829,26,2025-01-11,2025-01-12,2,5,1,2
2481,27,2025-01-11,2025-01-13,NULL,2,1,2
2457,29,2025-01-11,2025-01-16,NULL,5,1,2
382,30,2025-01-11,2025-01-12,1,2,1,2
2780,35,2025-01-11,2025-01-12,2,4,1,2
178,40,2025-01-11,2025-01-14,2,5,1,2
1562,41,2025-01-11,2025-01-15,1,5,1,2
549,47,2025-01-11,2025-01-15,1,4,1,2
1161,59,2025-01-11,2025-01-12,2,5,1,2
23,66,2025-01-11,2025-01-13,2,1,1,2
2129,68,2025-01-11,2025-01-12,NULL,4,1,2
1675,69,2025-01-11,2025-01-14,1,1,1,2
1039,72,2025-01-11,2025-01-16,1,5,1,2
2507,73,2025-01-11,2025-01-14,1,4,1,2
2262,76,2025-01-11,2025-01-15,2,4,1,2
2273,77,2025-01-11,2025-01-16,1,3,1,2
566,81,2025-01-11,2025-01-15,2,1,1,2
2865,83,2025-01-11,2025-01-15,NULL,1,1,2
1387,86,2025-01-11,2025-01-15,2,5,1,2
659,93,2025-01-11,2025-01-12,1,1,1,2
1784,98,2025-01-11,2025-01-16,NULL,1,1,2
328,1,2025-01-12,2025-01-15,2,1,1,2
2515,2,2025-01-12,2025-01-16,2,5,1,2
236,3,2025-01-12,2025-01-17,NULL,4,1,2
2691,5,2025-01-12,2025-01-14,2,3,1,2
2092,8,2025-01-12,2025-01-17,2,2,1,2
1474,9,2025-01-12,2025-01-13,NULL,1,1,2
1637,15,2025-01-12,2025-01-15,1,4,1,2
2121,20,2025-01-12,2025-01-14,NULL,1,1,2
2388,24,2025-01-12,2025-01-17,1,3,1,2
797,26,2025-01-12,2025-01-17,1,4,1,2
717,30,2025-01-12,2025-01-15,1,5,1,2
2061,32,2025-01-12,2025-01-13,1,3,1,2
1545,43,2025-01-12,2025-01-16,2,4,1,2
1880,44,2025-01-12,2025-01-15,2,4,1,2
277,48,2025-01-12,2025-01-15,1,2,1,2
1294,49,2025-01-12,2025-01-14,1,3,1,2
2871,53,2025-01-12,2025-01-13,1,2,1,2
2760,58,2025-01-12,2025-01-16,2,3,1,2
1952,59,2025-01-12,2025-01-14,1,3,1,2
1103,61,2025-01-12,2025-01-17,NULL,2,1,2
962,67,2025-01-12,2025-01-14,2,2,1,2
1023,74,2025-01-12,2025-01-14,2,3,1,2
492,75,2025-01-12,2025-01-13,NULL,4,1,2
174,79,2025-01-12,2025-01-17,1,3,1,2
2354,80,2025-01-12,2025-01-16,1,4,1,2
1148,84,2025-01-12,2025-01-17,1,2,1,2
222,90,2025-01-12,2025-01-14,2,4,1,2
134,91,2025-01-12,2025-01-17,2,3,1,2
1873,93,2025-01-12,2025-01-14,NULL,5,1,2
49,94,2025-01-12,2025-01-13,2,2,1,2
1333,95,2025-01-12,2025-01-13,1,5,1,2
972,100,2025-01-12,2025-01-15,1,4,1,2
2043,6,2025-01-13,2025-01-15,1,2,1,2
1496,9,2025-01-13,2025-01-16,1,3,1,2
538,11,2025-01-13,2025-01-18,2,2,1,2
2275,16,2025-01-13,2025-01-15,1,4,1,2
1938,22,2025-01-13,2025-01-15,NULL,2,1,2
2584,25,2025-01-13,2025-01-15,2,5,1,2
1229,27,2025-01-13,2025-01-17,1,5,1,2
2829,32,2025-01-13,2025-01-14,NULL,1,1,2
1952,34,2025-01-13,2025-01-16,2,1,1,2
1065,35,2025-01-13,2025-01-16,1,3,1,2
1410,36,2025-01-13,2025-01-16,NULL,4,1,2
815,37,2025-01-13,2025-01-18,2,5,1,2
715,38,2025-01-13,2025-01-18,1,3,1,2
1997,39,2025-01-13,2025-01-18,2,4,1,2
1900,45,2025-01-13,2025-01-16,2,2,1,2
1728,50,2025-01-13,2025-01-16,2,5,1,2
325,53,2025-01-13,2025-01-14,NULL,3,1,2
2675,54,2025-01-13,2025-01-16,1,3,1,2
1112,55,2025-01-13,2025-01-17,1,3,1,2
1845,57,2025-01-13,2025-01-18,1,2,1,2
513,62,2025-01-13,2025-01-14,2,2,1,2
863,64,2025-01-13,2025-01-14,NULL,4,1,2
1939,66,2025-01-13,2025-01-14,2,1,1,2
2147,68,2025-01-13,2025-01-17,NULL,1,1,2
346,75,2025-01-13,2025-01-15,2,4,1,2
1164,85,2025-01-13,2025-01-15,1,2,1,2
118,87,2025-01-13,2025-01-15,NULL,3,1,2
1914,94,2025-01-13,2025-01-17,2,3,1,2
2858,95,2025-01-13,2025-01-15,2,2,1,2
2585,99,2025-01-13,2025-01-17,2,5,1,2
1269,4,2025-01-14,2025-01-19,1,4,1,2
1810,5,2025-01-14,2025-01-15,1,3,1,2
1244,10,2025-01-14,2025-01-16,NULL,1,1,2
1409,12,2025-01-14,2025-01-16,1,4,1,2
1955,13,2025-01-14,2025-01-18,1,1,1,2
2446,20,2025-01-14,2025-01-17,NULL,1,1,2
1687,21,2025-01-14,2025-01-16,2,4,1,2
2929,31,2025-01-14,2025-01-16,2,4,1,2
1730,33,2025-01-14,2025-01-15,2,2,1,2
2843,40,2025-01-14,2025-01-19,2,3,1,2
1102,42,2025-01-14,2025-01-19,1,2,1,2
453,49,2025-01-14,2025-01-17,2,4,1,2
2870,51,2025-01-14,2025-01-17,2,4,1,2
624,53,2025-01-14,2025-01-15,NULL,5,1,2
1156,56,2025-01-14,2025-01-15,1,2,1,2
954,59,2025-01-14,2025-01-15,NULL,2,1,2
1401,60,2025-01-14,2025-01-16,1,3,1,2
1522,62,2025-01-14,2025-01-18,1,1,1,2
230,63,2025-01-14,2025-01-16,1,4,1,2
744,64,2025-01-14,2025-01-18,NULL,3,1,2
1577,67,2025-01-14,2025-01-16,1,2,1,2
816,69,2025-01-14,2025-01-15,1,1,1,2
1937,70,2025-01-14,2025-01-16,1,3,1,2
2252,73,2025-01-14,2025-01-15,2,1,1,2
814,74,2025-01-14,2025-01-17,1,1,1,2
967,90,2025-01-14,2025-01-15,2,4,1,2
1131,92,2025-01-14,2025-01-16,2,1,1,2
37,93,2025-01-14,2025-01-16,NULL,5,1,2
2820,96,2025-01-14,2025-01-18,2,2,1,2
1019,97,2025-01-14,2025-01-15,NULL,4,1,2
1387,1,2025-01-15,2025-01-20,2,1,1,2
2873,5,2025-01-15,2025-01-17,2,1,1,2
1298,6,2025-01-15,2025-01-17,2,3,1,2
88,16,2025-01-15,2025-01-17,2,4,1,2
1027,18,2025-01-15,2025-01-17,NULL,4,1,2
1208,19,2025-01-15,2025-01-20,2,4,1,2
2227,22,2025-01-15,2025-01-17,1,3,1,2
2453,25,2025-01-15,2025-01-18,2,2,1,2
1841,28,2025-01-15,2025-01-17,1,3,1,2
3,30,2025-01-15,2025-01-19,2,5,1,2
77,32,2025-01-15,2025-01-17,2,3,1,2
1314,33,2025-01-15,2025-01-17,2,1,1,2
1588,41,2025-01-15,2025-01-20,NULL,5,1,2
632,44,2025-01-15,2025-01-20,2,3,1,2
453,46,2025-01-15,2025-01-18,NULL,5,1,2
532,47,2025-01-15,2025-01-16,NULL,1,1,2
785,48,2025-01-15,2025-01-19,NULL,1,1,2
2695,52,2025-01-15,2025-01-19,1,5,1,2
1049,53,2025-01-15,2025-01-20,NULL,3,1,2
54,56,2025-01-15,2025-01-16,NULL,4,1,2
1479,66,2025-01-15,2025-01-16,2,4,1,2
2527,71,2025-01-15,2025-01-16,1,5,1,2
1245,73,2025-01-15,2025-01-16,NULL,2,1,2
2178,76,2025-01-15,2025-01-17,1,2,1,2
2335,78,2025-01-15,2025-01-17,2,2,1,2
1701,81,2025-01-15,2025-01-20,2,1,1,2
1467,82,2025-01-15,2025-01-20,2,4,1,2
427,83,2025-01-15,2025-01-19,NULL,2,1,2
1383,85,2025-01-15,2025-01-20,2,2,1,2
1815,86,2025-01-15,2025-01-20,1,3,1,2
1523,87,2025-01-15,2025-01-18,1,4,1,2
2307,89,2025-01-15,2025-01-17,2,2,1,2
1041,90,2025-01-15,2025-01-20,1,4,1,2
1,95,2025-01-15,2025-01-19,2,1,1,2
554,100,2025-01-15,2025-01-20,1,1,1,2
880,2,2025-01-16,2025-01-18,1,1,1,2
2268,7,2025-01-16,2025-01-19,2,5,1,2
634,9,2025-01-16,2025-01-21,NULL,1,1,2
567,10,2025-01-16,2025-01-18,1,3,1,2
1231,14,2025-01-16,2025-01-19,NULL,5,1,2
317,15,2025-01-16,2025-01-18,2,3,1,2
2000,17,2025-01-16,2025-01-18,2,5,1,2
154,23,2025-01-16,2025-01-19,2,5,1,2
